italiano,tedesco,precisazione italiano,precisazione tedesco,tipo,priorita,casi retti,prateritum,perfekt,tipo di frase,plurale,tentativi da italiano a tedesco,errori da italiano a tedesco,tentativi da tedesco a italiano,errori da tedesco a italiano
poco,wenige,,,IMP,1,,,,,,0,0,0,0
un po’ di,ein paar,,,IMP,2,,,,,,0,0,0,0
un po’ di,ein bisschen,,,IMP,2,,,,,,0,0,0,0
abbastanza,genug,,,IMP,2,,,,,,0,0,0,0
molto,viele,,,IMP,1,,,,,,0,0,0,0
troppo,zu,,,IMP,1,,,,,,0,0,0,0
nessuno,niemand,,,IMP,2,,,,,,0,0,0,0
nessuno,keiner,,,IMP,2,,,,,,0,0,0,0
alcuni,manche,alcuni specifici,,IMP,3,,,,,,0,0,0,0
qualcuno,jemand,,,IMP,2,,,,,,0,0,0,0
qualcuno,irgendjemand,,,IMP,2,,,,,,0,0,0,0
tutti,alle,,,IMP,2,,,,,,0,0,0,0
tutti,jeder,,,IMP,2,,,,,,0,0,0,0
niente,nichts,,,IMP,1,,,,,,0,0,0,0
qualcosa,etwas,,,IMP,1,,,,,,0,0,0,0
tutto,alles,,,IMP,2,,,,,,0,0,0,0
da nessuna parte,nirgendwo,,,IMP,1,,,,,,0,0,0,0
da nessuna parte,nirgends,,,IMP,1,,,,,,0,0,0,0
da qualche parte,irgendwo,,,IMP,1,,,,,,0,0,0,0
ovunque,überall,,,IMP,1,,,,,,0,0,0,0
in qualche modo,irgendwie,,,IMP,1,,,,,,0,0,0,0
ogni,jeder,,,IMP,2,,,,,,0,0,0,0
entrambi,beide,,,IMP,3,,,,,,0,0,0,0
quale,welche,,,IMP,2,,,,,,0,0,0,0
solo,nur,,,IMP,1,,,,,,0,0,0,0
la maggior parte,meiste,,,IMP,3,,,,,,0,0,0,0
quasi,fast,,,IMP,3,,,,,,0,0,0,0
senza,ohne,,,IMP,3,,,,,,0,0,0,0
vero,wahr,,,A,1,,,,,,0,0,1,0
vero,richtig,,,A,1,,,,,,0,0,1,0
grande,groß,,,A,1,,,,,,1,0,2,0
piccolo,klein,,,A,1,,,,,,0,0,2,0
male,schlecht,,,A,1,,,,,,0,0,2,0
vecchio,alt,,,A,1,,,,,,0,0,1,0
disponibile,erhältlich,,,A,2,,,,,,0,0,0,0
difficile,schwer,,,A,1,,,,,,0,0,0,0
facile,einfach,,,A,1,,,,,,0,0,0,0
lento,langsam,,,A,1,,,,,,0,0,0,0
veloce,schnell,,,A,1,,,,,,0,0,0,0
lungo,lange,,,A,1,,,,,,0,0,0,0
corto,kurz,,,A,1,,,,,,0,0,0,0
male,schlect,,,A,1,,,,,,0,0,0,0
bene,gut,,,A,1,,,,,,0,0,0,0
importante,wichtig,,,A,1,,,,,,0,0,0,0
nuovo,neu,,,A,1,,,,,,0,0,0,0
vecchio,alt,,,A,1,,,,,,0,0,0,0
falso,falsch,,,A,1,,,,,,0,0,0,0
sbagliato,falsch,,,A,1,,,,,,0,0,0,0
pieno,voll,,,A,1,,,,,,0,0,0,0
vuoto,leer,,,A,1,,,,,,0,0,0,0
vuoto,alle,,,A,1,,,,,,0,0,0,0
stanco,müde,,,A,1,,,,,,0,0,0,0
felice,glücklich,,,A,1,,,,,,0,0,0,0
triste,unglucklich,,,A,1,,,,,,0,0,0,0
triste,traurig,,,A,1,,,,,,0,0,0,0
arrabbiato,schlect drauf,,,A,1,,,,,,0,0,0,0
preoccupato,unruhig,,,A,1,,,,,,0,0,0,0
caldo,warm,,,A,1,,,,,,0,0,0,0
caldo,heiß,,,A,1,,,,,,0,0,0,0
freddo,kalt,,,A,1,,,,,,0,0,0,0
freddo,kuhl,,,A,1,,,,,,0,0,0,0
sinistra,linke,,,A,1,,,,,,0,0,0,0
destra,rechte,,,A,1,,,,,,0,0,0,0
prossimo,nächste,,,A,1,,,,,,0,0,0,0
precedente,vorherig,,,A,1,,,,,,0,0,0,0
bianco,weiss,,,A,1,,,,,,0,0,0,0
nero,schwarz,,,A,1,,,,,,0,0,0,0
rosso,rot,,,A,1,,,,,,0,0,0,0
ultimo,letzte,,,A,1,,,,,,0,0,0,0
aperto,öffnen,,,A,1,,,,,,0,0,0,0
chiuso,zu,,,A,1,,,,,,0,0,0,0
migliore,besser,,,A,1,,,,,,0,0,0,0
peggiore,schlimmer,,,A,1,,,,,,0,0,0,0
il migliore,beste,,,A,1,,,,,,0,0,0,0
il peggiore,schlimmste,,,A,1,,,,,,0,0,0,0
dire,sagen,,,V,1,D,sagt,gesagt,,,9,2,7,1
fare,machen,,,V,1,A,macht,gemacht,,,7,3,6,1
vedere,sehen,,,V,1,A,sah,gesehen,,,11,4,4,2
guardare,sehen,,,V,1,A,sah,gesehen,,,7,5,4,2
trovare,finden,,,V,1,A,fand,gefunden,,,7,0,4,1
prendere,nehmen,,,V,1,/,nahm,genommen,,,7,0,5,0
